sentido,anio,codigo_ipress,mes,motivo
A_sin_D,2016,00006234,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006235,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006243,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006244,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006245,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006249,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006250,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006251,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006252,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006253,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006255,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006256,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006257,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006260,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006262,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006263,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006264,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006266,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006268,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006352,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006359,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006502,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006580,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006615,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006631,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006632,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006638,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006639,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006642,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006732,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006733,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006768,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006918,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006919,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00007126,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00007277,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00007314,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00007397,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00007635,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00007636,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00007637,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00007638,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00007639,,Código sin D ese año (A nacional vs D filtrado)
