codigo_ipress,anio,mes,servicios_d,servicios_con_camas_validas,suma_total_camas_d,max_total_camas_d,CA_CAMAS,estado_calidad_a,diferencia_suma_total_camas_d,diferencia_pct_suma_total_camas_d,diferencia_max_total_camas_d,diferencia_pct_max_total_camas_d
00005814,2025,6,1,1,8.0,8.0,5.0,UNICA,3.0,60.0,3.0,60.0
00005814,2025,7,1,1,8.0,8.0,5.0,UNICA,3.0,60.0,3.0,60.0
00005814,2025,8,1,1,8.0,8.0,5.0,UNICA,3.0,60.0,3.0,60.0
00005814,2025,9,1,1,8.0,8.0,5.0,UNICA,3.0,60.0,3.0,60.0
00005814,2025,10,1,1,8.0,8.0,5.0,UNICA,3.0,60.0,3.0,60.0
00005814,2025,11,1,1,8.0,8.0,5.0,UNICA,3.0,60.0,3.0,60.0
00005814,2026,1,1,1,8.0,8.0,5.0,UNICA,3.0,60.0,3.0,60.0
00005814,2026,2,1,1,8.0,8.0,5.0,UNICA,3.0,60.0,3.0,60.0
00005814,2026,3,1,1,8.0,8.0,5.0,UNICA,3.0,60.0,3.0,60.0
00005816,2025,1,2,2,36.0,18.0,12.0,UNICA,24.0,200.0,6.0,50.0
00005816,2025,2,2,2,36.0,18.0,12.0,UNICA,24.0,200.0,6.0,50.0
00005816,2025,3,2,2,36.0,18.0,12.0,UNICA,24.0,200.0,6.0,50.0
00005816,2025,4,2,2,36.0,18.0,12.0,UNICA,24.0,200.0,6.0,50.0
00005816,2025,5,2,2,36.0,18.0,12.0,UNICA,24.0,200.0,6.0,50.0
00005816,2025,6,2,2,36.0,18.0,12.0,UNICA,24.0,200.0,6.0,50.0
00005816,2025,7,1,1,18.0,18.0,12.0,UNICA,6.0,50.0,6.0,50.0
00005816,2025,8,1,1,18.0,18.0,12.0,UNICA,6.0,50.0,6.0,50.0
00005816,2025,9,2,2,36.0,18.0,12.0,UNICA,24.0,200.0,6.0,50.0
00005816,2025,10,1,1,18.0,18.0,12.0,UNICA,6.0,50.0,6.0,50.0
00005816,2025,11,1,1,18.0,18.0,11.0,UNICA,7.0,63.63636363636363,7.0,63.63636363636363
00005816,2026,1,1,1,18.0,18.0,11.0,UNICA,7.0,63.63636363636363,7.0,63.63636363636363
00005816,2026,2,1,1,18.0,18.0,11.0,UNICA,7.0,63.63636363636363,7.0,63.63636363636363
00005816,2026,3,1,1,18.0,18.0,11.0,UNICA,7.0,63.63636363636363,7.0,63.63636363636363
00005817,2025,1,1,1,6.0,6.0,8.0,UNICA,-2.0,-25.0,-2.0,-25.0
00005817,2025,2,1,1,6.0,6.0,8.0,UNICA,-2.0,-25.0,-2.0,-25.0
00005817,2025,3,1,1,6.0,6.0,8.0,UNICA,-2.0,-25.0,-2.0,-25.0
00005817,2025,4,1,1,6.0,6.0,8.0,UNICA,-2.0,-25.0,-2.0,-25.0
00005817,2025,5,1,1,6.0,6.0,8.0,UNICA,-2.0,-25.0,-2.0,-25.0
00005817,2025,6,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005817,2025,7,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005817,2025,8,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005817,2025,9,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005817,2025,10,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005817,2025,11,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005817,2026,1,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005817,2026,2,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005817,2026,3,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005821,2025,1,1,1,12.0,12.0,9.0,UNICA,3.0,33.33333333333333,3.0,33.33333333333333
00005821,2025,2,1,1,12.0,12.0,9.0,UNICA,3.0,33.33333333333333,3.0,33.33333333333333
00005821,2025,3,1,1,12.0,12.0,9.0,UNICA,3.0,33.33333333333333,3.0,33.33333333333333
00005821,2025,4,2,2,24.0,12.0,0.0,UNICA,24.0,,12.0,
00005821,2025,5,2,2,24.0,12.0,0.0,UNICA,24.0,,12.0,
00005821,2025,6,2,2,36.0,24.0,9.0,UNICA,27.0,300.0,15.0,166.66666666666669
00005821,2025,7,1,1,12.0,12.0,9.0,UNICA,3.0,33.33333333333333,3.0,33.33333333333333
00005821,2025,8,1,1,12.0,12.0,9.0,UNICA,3.0,33.33333333333333,3.0,33.33333333333333
00005821,2025,9,1,1,12.0,12.0,9.0,UNICA,3.0,33.33333333333333,3.0,33.33333333333333
00005821,2025,10,1,1,12.0,12.0,9.0,UNICA,3.0,33.33333333333333,3.0,33.33333333333333
00005821,2025,11,1,1,12.0,12.0,9.0,UNICA,3.0,33.33333333333333,3.0,33.33333333333333
00005821,2026,1,1,1,12.0,12.0,9.0,UNICA,3.0,33.33333333333333,3.0,33.33333333333333
00005821,2026,2,1,1,24.0,24.0,9.0,UNICA,15.0,166.66666666666669,15.0,166.66666666666669
00005821,2026,3,1,1,12.0,12.0,9.0,UNICA,3.0,33.33333333333333,3.0,33.33333333333333
00005842,2025,1,1,1,6.0,6.0,0.0,UNICA,6.0,,6.0,
00005842,2025,2,1,1,6.0,6.0,0.0,UNICA,6.0,,6.0,
00005842,2025,3,1,1,6.0,6.0,0.0,UNICA,6.0,,6.0,
00005842,2025,4,1,1,6.0,6.0,0.0,UNICA,6.0,,6.0,
00005842,2025,5,1,1,6.0,6.0,0.0,UNICA,6.0,,6.0,
00005842,2025,6,1,1,6.0,6.0,0.0,UNICA,6.0,,6.0,
00005842,2025,7,1,1,6.0,6.0,0.0,UNICA,6.0,,6.0,
00005842,2025,8,1,1,6.0,6.0,0.0,UNICA,6.0,,6.0,
00005842,2025,9,1,1,6.0,6.0,0.0,UNICA,6.0,,6.0,
00005842,2025,10,1,1,6.0,6.0,0.0,UNICA,6.0,,6.0,
00005842,2025,11,1,1,6.0,6.0,0.0,UNICA,6.0,,6.0,
00005842,2026,1,1,1,6.0,6.0,8.0,UNICA,-2.0,-25.0,-2.0,-25.0
00005842,2026,2,1,1,6.0,6.0,8.0,UNICA,-2.0,-25.0,-2.0,-25.0
00005842,2026,3,1,1,6.0,6.0,8.0,UNICA,-2.0,-25.0,-2.0,-25.0
00005883,2015,12,2,2,17.0,16.0,45.0,UNICA,-28.0,-62.22222222222222,-29.0,-64.44444444444444
00005883,2016,1,6,6,46.0,16.0,45.0,UNICA,1.0,2.2222222222222223,-29.0,-64.44444444444444
00005883,2016,2,6,6,46.0,16.0,45.0,UNICA,1.0,2.2222222222222223,-29.0,-64.44444444444444
