codigo_ipress,anio,mes,_archivo,_registro,variable,anterior,actual,diferencia
00002523,2020,8,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,38789,CA_CAMAS,0.0,16.0,16.0
00002523,2020,9,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,38971,CA_CAMAS,16.0,0.0,-16.0
00002523,2025,10,data\raw\Capacidad\ConsultaA_2025_v22.csv,54367,CA_CAMAS,0.0,16.0,16.0
00002523,2026,7,data\raw\Capacidad\ConsultaA_2026_v13.csv,8822,CA_CAMAS,0.0,11.0,11.0
00002528,2025,6,data\raw\Capacidad\ConsultaA_2025_v22.csv,43692,CA_CAMAS,0.0,12.0,12.0
00002528,2026,3,data\raw\Capacidad\ConsultaA_2026_v13.csv,27208,CA_CAMAS,12.0,0.0,-12.0
00002528,2026,5,data\raw\Capacidad\ConsultaA_2026_v13.csv,6920,CA_CAMAS,0.0,12.0,12.0
00002528,2026,6,data\raw\Capacidad\ConsultaA_2026_v13.csv,19779,CA_CAMAS,12.0,0.0,-12.0
00002536,2020,1,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,34658,CA_CAMAS,17.0,0.0,-17.0
00002536,2025,3,data\raw\Capacidad\ConsultaA_2025_v22.csv,18375,CA_CAMAS,0.0,18.0,18.0
00002536,2025,5,data\raw\Capacidad\ConsultaA_2025_v22.csv,24768,CA_CAMAS,18.0,0.0,-18.0
00002536,2025,6,data\raw\Capacidad\ConsultaA_2025_v22.csv,43697,CA_CAMAS,0.0,18.0,18.0
00002536,2026,3,data\raw\Capacidad\ConsultaA_2026_v13.csv,27212,CA_CAMAS,18.0,0.0,-18.0
00002536,2026,5,data\raw\Capacidad\ConsultaA_2026_v13.csv,14383,CA_CAMAS,0.0,18.0,18.0
00002536,2026,6,data\raw\Capacidad\ConsultaA_2026_v13.csv,19037,CA_CAMAS,18.0,0.0,-18.0
00002538,2025,10,data\raw\Capacidad\ConsultaA_2025_v22.csv,57291,CA_CAMAS,0.0,14.0,14.0
00002540,2026,6,data\raw\Capacidad\ConsultaA_2026_v13.csv,28527,CA_CAMAS,0.0,18.0,18.0
00003366,2024,3,data\raw\Capacidad\ConsultaA_2024_v22.csv,31628,CA_CAMAS,9.0,25.0,16.0
00003394,2024,3,data\raw\Capacidad\ConsultaA_2024_v22.csv,32232,CA_CAMAS,12.0,0.0,-12.0
00003414,2018,11,data\raw\Capacidad\ConsultaA_Recurso_Salud_2018_v2.csv,23628,CA_CAMAS,40.0,97.0,57.0
00003494,2020,5,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,17861,CA_CAMAS,16.0,46.0,30.0
00003543,2016,9,data\raw\Capacidad\ConsultaA_Recurso_Salud_2016_v1.csv,536,CA_CAMAS,21.0,211.0,190.0
00003575,2019,9,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,22602,CA_CAMAS,2.0,24.0,22.0
00003576,2024,8,data\raw\Capacidad\ConsultaA_2024_v22.csv,11971,CA_CAMAS,0.0,24.0,24.0
00003598,2018,12,data\raw\Capacidad\ConsultaA_Recurso_Salud_2018_v2.csv,26134,CA_CAMAS,10.0,0.0,-10.0
00003598,2019,1,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,4273,CA_CAMAS,0.0,10.0,10.0
00003639,2020,6,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,17529,CA_CAMAS,11.0,0.0,-11.0
00003754,2024,8,data\raw\Capacidad\ConsultaA_2024_v22.csv,11146,CA_CAMAS,43.0,390.0,347.0
00003847,2018,12,data\raw\Capacidad\ConsultaA_Recurso_Salud_2018_v2.csv,23228,CA_CAMAS,12.0,0.0,-12.0
00003917,2019,3,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,9530,CA_CAMAS,19.0,400.0,381.0
