codigo_ipress,anio,mes,CA_CAMAS,CA_MEDICOS_TOTAL,CA_MEDICOS_RESIDENTES,CA_ENFERMERAS,departamento,provincia,distrito,sector,categoria,nombre_ipress,_codigo_original,_anio_original,_mes_original,_clave_valida,_archivo,_registro,_huella_fila,original_ANHO,original_MES,original_UBIGEO,original_DEPARTAMENTO,original_PROVINCIA,original_DISTRITO,original_SECTOR,original_CATEGORIA,original_CO_IPRESS,original_RAZON_SOC,original_CA_CONSULTORIOS,original_CA_CONSULTORIOS_FN,original_CA_CAMAS,original_CA_MEDICOS_TOTAL,original_CA_MEDICOS_SERUM,original_CA_MEDICOS_RESIDENTES,original_CA_ENFERMERAS,original_CA_ODONTOLOGOS,original_CA_PSICOLOGOS,original_CA_NUTRICIONISTAS,original_CA_TECNOLOGOS_MEDICOS,original_CA_OBSTETRICES,original_CA_FARMACEUTICOS,original_CA_AUXILIARES,original_CA_OTROS_PROF,original_CA_AMBULANCIAS,filas_originales,versiones_distintas,estado_calidad_a,cantidad_eliminada
00001421,2020,3,0,5,0,6,AREQUIPA,CAYLLOMA,CALLALLI,GOBIERNO REGIONAL,I-3,CENTRO DE SALUD CALLALLI,00001421,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,12290,2181535459151692553,2020,03,040504,AREQUIPA,CAYLLOMA,CALLALLI,GOBIERNO REGIONAL,I-3,00001421,CENTRO DE SALUD CALLALLI,12,6,0,5,0,0,6,1,1,1,0,5,0,0,6,1,3,2,AMBIGUA,0
00006745,2020,3,0,0,0,1,CUSCO,ESPINAR,ESPINAR,GOBIERNO REGIONAL,I-1,TINTAYA MARQUIRI,00006745,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,12302,5934140937154280696,2020,03,080801,CUSCO,ESPINAR,ESPINAR,GOBIERNO REGIONAL,I-1,00006745,TINTAYA MARQUIRI,6,3,0,0,0,0,1,0,0,0,0,1,0,2,0,0,6,2,AMBIGUA,0
00006745,2020,3,0,0,0,1,CUSCO,ESPINAR,ESPINAR,GOBIERNO REGIONAL,I-1,TINTAYA MARQUIRI,00006745,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,12303,11835349357976547278,2020,03,080801,CUSCO,ESPINAR,ESPINAR,GOBIERNO REGIONAL,I-1,00006745,TINTAYA MARQUIRI,5,5,0,0,0,0,1,0,0,0,0,1,0,2,0,0,6,2,AMBIGUA,0
00006745,2020,3,0,0,0,1,CUSCO,ESPINAR,ESPINAR,GOBIERNO REGIONAL,I-1,TINTAYA MARQUIRI,00006745,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,12310,5934140937154280696,2020,03,080801,CUSCO,ESPINAR,ESPINAR,GOBIERNO REGIONAL,I-1,00006745,TINTAYA MARQUIRI,6,3,0,0,0,0,1,0,0,0,0,1,0,2,0,0,6,2,AMBIGUA,0
00006745,2020,3,0,0,0,1,CUSCO,ESPINAR,ESPINAR,GOBIERNO REGIONAL,I-1,TINTAYA MARQUIRI,00006745,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,12311,11835349357976547278,2020,03,080801,CUSCO,ESPINAR,ESPINAR,GOBIERNO REGIONAL,I-1,00006745,TINTAYA MARQUIRI,5,5,0,0,0,0,1,0,0,0,0,1,0,2,0,0,6,2,AMBIGUA,0
00002379,2020,3,NE_0001,NE_0001,NE_0001,NE_0001,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-1,HERCCA,00002379,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,12383,8421169629515633706,2020,03,080601,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-1,00002379,HERCCA,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,5,2,AMBIGUA,0
00002384,2020,4,3,4,0,11,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-3,PAMPAPHALLA,00002384,2020,04,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,12495,6907145831429590662,2020,04,080601,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-3,00002384,PAMPAPHALLA,10,18,3,4,0,0,11,4,2,3,0,6,1,16,3,1,4,2,AMBIGUA,0
00002394,2020,4,1,0,0,2,CUSCO,CANCHIS,SAN PABLO,GOBIERNO REGIONAL,I-2,SAN PABLO CANCHIS,00002394,2020,04,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,12496,11426297546424850016,2020,04,080606,CUSCO,CANCHIS,SAN PABLO,GOBIERNO REGIONAL,I-2,00002394,SAN PABLO CANCHIS,3,5,1,0,0,0,2,1,0,0,0,1,0,3,0,1,4,2,AMBIGUA,0
00002384,2020,4,3,4,0,11,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-3,PAMPAPHALLA,00002384,2020,04,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,12497,6907145831429590662,2020,04,080601,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-3,00002384,PAMPAPHALLA,10,18,3,4,0,0,11,4,2,3,0,6,1,16,3,1,4,2,AMBIGUA,0
00002383,2020,4,2,0,0,3,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-2,LA FLORIDA,00002383,2020,04,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,12498,4604081209068828055,2020,04,080601,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-2,00002383,LA FLORIDA,3,5,2,0,0,0,3,0,0,0,0,2,0,3,0,0,4,2,AMBIGUA,0
00002396,2020,4,1,0,0,2,CUSCO,CANCHIS,SAN PEDRO,GOBIERNO REGIONAL,I-2,SAN PEDRO CANCHIS,00002396,2020,04,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,12499,4667333722760835429,2020,04,080607,CUSCO,CANCHIS,SAN PEDRO,GOBIERNO REGIONAL,I-2,00002396,SAN PEDRO CANCHIS,3,4,1,0,0,0,2,0,0,0,0,1,0,2,0,1,4,2,AMBIGUA,0
00002394,2020,4,1,0,0,2,CUSCO,CANCHIS,SAN PABLO,GOBIERNO REGIONAL,I-2,SAN PABLO CANCHIS,00002394,2020,04,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,12501,11426297546424850016,2020,04,080606,CUSCO,CANCHIS,SAN PABLO,GOBIERNO REGIONAL,I-2,00002394,SAN PABLO CANCHIS,3,5,1,0,0,0,2,1,0,0,0,1,0,3,0,1,4,2,AMBIGUA,0
