codigo_ipress,anio,mes,departamento,provincia,distrito,sector,categoria,CA_CAMAS,CA_MEDICOS_TOTAL,CA_MEDICOS_RESIDENTES,CA_ENFERMERAS,_archivo,_registro
00013591,2024,7,LIMA,LIMA,JESUS MARIA,SANIDAD DE LA POLICIA NACIONAL DEL PERU,III-1,355,499,140,385,data\raw\Capacidad\ConsultaA_2024_v22.csv,10121
00009188,2024,6,LIMA,LIMA,LIMA,ESSALUD,II-1,50,91,0,71,data\raw\Capacidad\ConsultaA_2024_v22.csv,10225
00010434,2024,7,LIMA,LIMA,SANTA ANITA,ESSALUD,II-E,190,51,9,131,data\raw\Capacidad\ConsultaA_2024_v22.csv,10481
00016094,2024,8,LIMA,LIMA,RIMAC,SANIDAD DE LA POLICIA NACIONAL DEL PERU,II-1,76,22,0,68,data\raw\Capacidad\ConsultaA_2024_v22.csv,10550
00006212,2024,7,LIMA,LIMA,LA VICTORIA,MINSA,III-E,56,150,9,143,data\raw\Capacidad\ConsultaA_2024_v22.csv,10616
00013914,2024,8,LIMA,LIMA,RIMAC,SANIDAD DEL EJERCITO DEL PERU,I-4,4,8,0,16,data\raw\Capacidad\ConsultaA_2024_v22.csv,10645
00005946,2024,7,LIMA,LIMA,EL AGUSTINO,MINSA,III-1,595,526,169,665,data\raw\Capacidad\ConsultaA_2024_v22.csv,10691
00006210,2024,6,LIMA,LIMA,SURQUILLO,MINSA,III-2,436,243,171,525,data\raw\Capacidad\ConsultaA_2024_v22.csv,10748
00006211,2024,7,LIMA,LIMA,PUEBLO LIBRE,MINSA,III-1,139,297,50,293,data\raw\Capacidad\ConsultaA_2024_v22.csv,10926
00006209,2024,7,LIMA,LIMA,LIMA,MINSA,III-2,130,103,42,132,data\raw\Capacidad\ConsultaA_2024_v22.csv,10979
00016918,2024,7,LIMA,LIMA,SAN BORJA,MINSA,III-2,241,409,61,510,data\raw\Capacidad\ConsultaA_2024_v22.csv,11180
00008564,2024,8,LIMA,LIMA,SAN MIGUEL,ESSALUD,II-1,46,101,0,87,data\raw\Capacidad\ConsultaA_2024_v22.csv,11256
00006210,2024,8,LIMA,LIMA,SURQUILLO,MINSA,III-2,440,241,199,519,data\raw\Capacidad\ConsultaA_2024_v22.csv,11257
00006212,2024,8,LIMA,LIMA,LA VICTORIA,MINSA,III-E,57,155,15,139,data\raw\Capacidad\ConsultaA_2024_v22.csv,11406
00007632,2024,8,LIMA,LIMA,PUENTE PIEDRA,MINSA,II-2,111,130,55,215,data\raw\Capacidad\ConsultaA_2024_v22.csv,11420
00008502,2024,8,LIMA,LIMA,LIMA,ESSALUD,II-2,168,399,79,295,data\raw\Capacidad\ConsultaA_2024_v22.csv,11431
00008741,2024,7,LIMA,LIMA,VILLA EL SALVADOR,ESSALUD,II-1,64,96,3,90,data\raw\Capacidad\ConsultaA_2024_v22.csv,11747
00010751,2024,7,LIMA,LIMA,MIRAFLORES,SANIDAD DE LA FUERZA AEREA DEL PERU,III-1,270,223,25,251,data\raw\Capacidad\ConsultaA_2024_v22.csv,11759
00010135,2024,7,LIMA,LIMA,LA MOLINA,ESSALUD,II-1,45,150,8,123,data\raw\Capacidad\ConsultaA_2024_v22.csv,11766
00017024,2024,7,LIMA,LIMA,JESUS MARIA,SANIDAD DEL EJERCITO DEL PERU,III-1,376,216,67,393,data\raw\Capacidad\ConsultaA_2024_v22.csv,11769
00006215,2024,6,LIMA,LIMA,LIMA,MINSA,III-E,177,326,101,302,data\raw\Capacidad\ConsultaA_2024_v22.csv,11790
00008489,2024,7,LIMA,LIMA,MIRAFLORES,ESSALUD,II-2,83,259,30,176,data\raw\Capacidad\ConsultaA_2024_v22.csv,11933
00008720,2024,8,LIMA,LIMA,JESUS MARIA,ESSALUD,III-2,1537,1557,413,1855,data\raw\Capacidad\ConsultaA_2024_v22.csv,12100
00006211,2024,3,LIMA,LIMA,PUEBLO LIBRE,MINSA,III-1,126,297,50,297,data\raw\Capacidad\ConsultaA_2024_v22.csv,12201
00016094,2024,4,LIMA,LIMA,RIMAC,SANIDAD DE LA POLICIA NACIONAL DEL PERU,II-1,58,17,0,66,data\raw\Capacidad\ConsultaA_2024_v22.csv,12225
00007733,2024,4,LIMA,LIMA,SAN MARTIN DE PORRES,MINSA,III-2,91,124,45,75,data\raw\Capacidad\ConsultaA_2024_v22.csv,12259
00005883,2024,3,LIMA,LIMA,ATE,MINSA,II-1,50,98,0,97,data\raw\Capacidad\ConsultaA_2024_v22.csv,12396
00006214,2024,5,LIMA,LIMA,MAGDALENA DEL MAR,MINSA,III-E,590,75,27,121,data\raw\Capacidad\ConsultaA_2024_v22.csv,12411
00007733,2024,5,LIMA,LIMA,SAN MARTIN DE PORRES,MINSA,III-2,89,124,45,72,data\raw\Capacidad\ConsultaA_2024_v22.csv,12457
00016094,2024,5,LIMA,LIMA,RIMAC,SANIDAD DE LA POLICIA NACIONAL DEL PERU,II-1,23,14,0,69,data\raw\Capacidad\ConsultaA_2024_v22.csv,12458
00008741,2024,4,LIMA,LIMA,VILLA EL SALVADOR,ESSALUD,II-1,66,97,3,86,data\raw\Capacidad\ConsultaA_2024_v22.csv,12516
00008564,2024,5,LIMA,LIMA,SAN MIGUEL,ESSALUD,II-1,48,94,0,82,data\raw\Capacidad\ConsultaA_2024_v22.csv,12605
00006209,2024,5,LIMA,LIMA,LIMA,MINSA,III-2,131,105,42,136,data\raw\Capacidad\ConsultaA_2024_v22.csv,12608
00008741,2024,5,LIMA,LIMA,VILLA EL SALVADOR,ESSALUD,II-1,66,96,3,85,data\raw\Capacidad\ConsultaA_2024_v22.csv,12610
00005883,2024,5,LIMA,LIMA,ATE,MINSA,II-1,58,102,0,98,data\raw\Capacidad\ConsultaA_2024_v22.csv,12769
00005947,2024,5,LIMA,LIMA,LURIGANCHO,MINSA,II-2,63,160,11,143,data\raw\Capacidad\ConsultaA_2024_v22.csv,12850
00018011,2024,5,LIMA,LIMA,JESUS MARIA,ESSALUD,III-E,114,180,40,273,data\raw\Capacidad\ConsultaA_2024_v22.csv,12860
00009188,2024,5,LIMA,LIMA,LIMA,ESSALUD,II-1,50,91,0,71,data\raw\Capacidad\ConsultaA_2024_v22.csv,12894
00007634,2024,2,LIMA,LIMA,COMAS,MINSA,III-1,289,246,116,272,data\raw\Capacidad\ConsultaA_2024_v22.csv,12984
00007632,2024,5,LIMA,LIMA,PUENTE PIEDRA,MINSA,II-2,114,129,55,210,data\raw\Capacidad\ConsultaA_2024_v22.csv,13005
00007734,2024,5,LIMA,LIMA,CHORRILLOS,MINSA,III-E,39,99,21,49,data\raw\Capacidad\ConsultaA_2024_v22.csv,13258
00006216,2024,5,LIMA,LIMA,BREÑA,MINSA,III-2,387,350,46,625,data\raw\Capacidad\ConsultaA_2024_v22.csv,13262
00008353,2024,5,LIMA,LIMA,ATE,ESSALUD,II-1,66,110,23,96,data\raw\Capacidad\ConsultaA_2024_v22.csv,13703
00009188,2024,3,LIMA,LIMA,LIMA,ESSALUD,II-1,50,88,0,68,data\raw\Capacidad\ConsultaA_2024_v22.csv,13741
00018011,2024,3,LIMA,LIMA,JESUS MARIA,ESSALUD,III-E,115,179,40,274,data\raw\Capacidad\ConsultaA_2024_v22.csv,13744
00010135,2024,4,LIMA,LIMA,LA MOLINA,ESSALUD,II-1,54,144,10,100,data\raw\Capacidad\ConsultaA_2024_v22.csv,13762
00005617,2024,5,LIMA,LIMA,SAN JUAN DE LURIGANCHO,MINSA,II-2,82,223,23,310,data\raw\Capacidad\ConsultaA_2024_v22.csv,14092
