codigo_ipress,anio,mes,CA_CAMAS,CA_MEDICOS_TOTAL,CA_MEDICOS_RESIDENTES,CA_ENFERMERAS,departamento,provincia,distrito,sector,categoria,nombre_ipress,_codigo_original,_anio_original,_mes_original,_clave_valida,_archivo,_registro,_huella_fila,original_ANHO,original_MES,original_UBIGEO,original_DEPARTAMENTO,original_PROVINCIA,original_DISTRITO,original_SECTOR,original_CATEGORIA,original_CO_IPRESS,original_RAZON_SOC,original_CA_CONSULTORIOS,original_CA_CONSULTORIOS_FN,original_CA_CAMAS,original_CA_MEDICOS_TOTAL,original_CA_MEDICOS_SERUM,original_CA_MEDICOS_RESIDENTES,original_CA_ENFERMERAS,original_CA_ODONTOLOGOS,original_CA_PSICOLOGOS,original_CA_NUTRICIONISTAS,original_CA_TECNOLOGOS_MEDICOS,original_CA_OBSTETRICES,original_CA_FARMACEUTICOS,original_CA_AUXILIARES,original_CA_OTROS_PROF,original_CA_AMBULANCIAS,filas_clave
00000498,2024,7,0,0,0,1,JUNIN,SATIPO,RIO NEGRO,GOBIERNO REGIONAL,I-2,PITOCUNA,00000498,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8688,15698303339127423429,2024,07,120607,JUNIN,SATIPO,RIO NEGRO,GOBIERNO REGIONAL,I-2,00000498,PITOCUNA,3,6,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2
00006877,2024,7,0,0,0,1,JUNIN,SATIPO,RIO TAMBO,GOBIERNO REGIONAL,I-1,CHONTAKIARI,00006877,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8689,4848233902278718809,2024,07,120608,JUNIN,SATIPO,RIO TAMBO,GOBIERNO REGIONAL,I-1,00006877,CHONTAKIARI,2,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2
00000480,2024,7,2,0,0,1,JUNIN,SATIPO,SATIPO,GOBIERNO REGIONAL,I-1,BAJO CAPIRO,00000480,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8690,12964228096788813350,2024,07,120601,JUNIN,SATIPO,SATIPO,GOBIERNO REGIONAL,I-1,00000480,BAJO CAPIRO,3,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2
00000503,2024,7,0,0,0,1,JUNIN,SATIPO,RIO NEGRO,GOBIERNO REGIONAL,I-2,UNION CUVIRIAKI,00000503,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8691,4372905851337147890,2024,07,120607,JUNIN,SATIPO,RIO NEGRO,GOBIERNO REGIONAL,I-2,00000503,UNION CUVIRIAKI,7,9,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2
00000504,2024,7,0,0,0,0,JUNIN,SATIPO,RIO NEGRO,GOBIERNO REGIONAL,I-1,SHABASHIPANGO,00000504,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8692,11321636771160444956,2024,07,120607,JUNIN,SATIPO,RIO NEGRO,GOBIERNO REGIONAL,I-1,00000504,SHABASHIPANGO,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
00013864,2024,7,0,0,0,0,JUNIN,SATIPO,SATIPO,GOBIERNO REGIONAL,I-1,CANAAN DEL NORTE,00013864,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8693,159525308579346853,2024,07,120601,JUNIN,SATIPO,SATIPO,GOBIERNO REGIONAL,I-1,00013864,CANAAN DEL NORTE,4,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
00000478,2024,7,3,1,0,1,JUNIN,SATIPO,SATIPO,GOBIERNO REGIONAL,I-2,RIO VENADO,00000478,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8694,4139357382327128385,2024,07,120601,JUNIN,SATIPO,SATIPO,GOBIERNO REGIONAL,I-2,00000478,RIO VENADO,5,4,3,1,1,0,1,0,0,0,0,1,0,1,0,0,2
00000502,2024,7,0,0,0,0,JUNIN,SATIPO,RIO NEGRO,GOBIERNO REGIONAL,I-2,CUSHIVIANI,00000502,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8695,16591677201344884365,2024,07,120607,JUNIN,SATIPO,RIO NEGRO,GOBIERNO REGIONAL,I-2,00000502,CUSHIVIANI,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
00000506,2024,7,0,1,0,2,JUNIN,SATIPO,RIO NEGRO,GOBIERNO REGIONAL,I-3,UNION CAPIRI,00000506,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8696,471961739048431239,2024,07,120607,JUNIN,SATIPO,RIO NEGRO,GOBIERNO REGIONAL,I-3,00000506,UNION CAPIRI,5,8,0,1,0,0,2,1,0,0,0,1,0,5,0,0,2
00000483,2024,7,0,1,0,1,JUNIN,SATIPO,SATIPO,GOBIERNO REGIONAL,I-2,SANIBENI,00000483,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8697,9394741980212020464,2024,07,120601,JUNIN,SATIPO,SATIPO,GOBIERNO REGIONAL,I-2,00000483,SANIBENI,5,10,0,1,1,0,1,0,0,0,0,1,0,2,0,0,2
