"ANHO","MES","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","SECTOR","CATEGORIA","CO_IPRESS","RAZON_SOC","ID_HOSPITALIZACION","HOSPITALIZACION","NRO_TOTAL_HOSPIT_ING","NRO_TOTAL_HOSPIT_EGR","NRO_TOTAL_ESTANCIAS","NRO_TOTAL_PACIENTES_CAMAS","NRO_TOTAL_CAMAS","NRO_TOTAL_CAMAS_DISPONIB","NRO_TOTAL_FALLECIDOS"
"2020","02","210802","PUNO","MELGAR","ANTAUTA","ESSALUD","I-2","00009898","POSTA MEDICA SAN RAFAEL - ESSALUD - RED ASISTENCIAL JULIACA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","150121","LIMA","LIMA","PUEBLO LIBRE","PRIVADO","II-1","00010831","centro Especializado en Odontoestomatología","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","180301","MOQUEGUA","ILO","ILO","ESSALUD","II-1","00016153","HOSPITAL II ILO","241800","HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL ","34","34","306","234","9","261","4"
"2020","02","180301","MOQUEGUA","ILO","ILO","ESSALUD","II-1","00016153","HOSPITAL II ILO","240100","HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL ","72","72","222","224","8","232","0"
"2020","02","180301","MOQUEGUA","ILO","ILO","ESSALUD","II-1","00016153","HOSPITAL II ILO","241500","HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA  ","13","16","73","63","3","87","0"
"2020","02","180301","MOQUEGUA","ILO","ILO","ESSALUD","II-1","00016153","HOSPITAL II ILO","241600","HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ","52","45","142","163","6","174","0"
"2020","02","180301","MOQUEGUA","ILO","ILO","ESSALUD","II-1","00016153","HOSPITAL II ILO","242300","HOSPITALIZACIÓN DE PEDIATRÍA  PEDIATRÍA  GENERAL ","15","14","45","47","2","58","0"
"2020","02","150130","LIMA","LIMA","SAN BORJA","PRIVADO","II-E","00011372","FUTURO VISION","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","210701","PUNO","LAMPA","LAMPA","ESSALUD","II-1","00009900","HOSPITAL I LAMPA - ESSALUD - RED ASISTENCIAL JULIACA","241800","HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL ","9","9","27","27","1","29","0"
"2020","02","210701","PUNO","LAMPA","LAMPA","ESSALUD","II-1","00009900","HOSPITAL I LAMPA - ESSALUD - RED ASISTENCIAL JULIACA","242200","HOSPITALIZACIÓN DE MEDICINA PSIQUIATRÍA ","8","2","24","37","9","261","0"
"2020","01","160101","LORETO","MAYNAS","IQUITOS","PRIVADO","II-1","00012170","SERVICIOS MEDICOS CLINICA SANTA ANITA SRL","NE_0002","","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002"
"2020","01","150132","LIMA","LIMA","SAN JUAN DE LURIGANCHO","PRIVADO","I-2","00024750","ARIE","NE_0002","","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002"
"2020","01","230301","TACNA","JORGE BASADRE","LOCUMBA","ESSALUD","I-2","00018550","CENTRO DE ATENCION PRIMARIA  I  LOCUMBA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","130101","LA LIBERTAD","TRUJILLO","TRUJILLO","PRIVADO","II-E","00021354","CLINICA LUZ Y VIDA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","060806","CAJAMARCA","JAEN","LAS PIRIAS","GOBIERNO REGIONAL","I-1","00004246","RUMIBAMBA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","240101","TUMBES","TUMBES","TUMBES","ESSALUD","II-1","00012272","CARLOS ALBERTO CORTEZ JIMENEZ","241900","HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA ","30","35","177","161","8","232","4"
"2020","02","240101","TUMBES","TUMBES","TUMBES","ESSALUD","II-1","00012272","CARLOS ALBERTO CORTEZ JIMENEZ","240100","HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL ","38","44","151","119","6","174","0"
"2020","02","240101","TUMBES","TUMBES","TUMBES","ESSALUD","II-1","00012272","CARLOS ALBERTO CORTEZ JIMENEZ","241200","HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA ","11","9","31","33","2","58","0"
"2020","02","240101","TUMBES","TUMBES","TUMBES","ESSALUD","II-1","00012272","CARLOS ALBERTO CORTEZ JIMENEZ","241400","HOSPITALIZACIÓN QUIRÚRGICA GINECO - OBSTETRICIA ","15","14","46","46","2","58","0"
"2020","02","240101","TUMBES","TUMBES","TUMBES","ESSALUD","II-1","00012272","CARLOS ALBERTO CORTEZ JIMENEZ","241600","HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ","95","103","203","188","7","203","0"
"2020","02","240101","TUMBES","TUMBES","TUMBES","ESSALUD","II-1","00012272","CARLOS ALBERTO CORTEZ JIMENEZ","242300","HOSPITALIZACIÓN DE PEDIATRÍA  PEDIATRÍA  GENERAL ","39","41","119","106","6","174","0"
"2020","02","240101","TUMBES","TUMBES","TUMBES","ESSALUD","II-1","00012272","CARLOS ALBERTO CORTEZ JIMENEZ","250304","HOSPIT. EN UNIDAD DE CUID.INTEN.-UNIDAD DE VIGILANCIA INTENSIVA (UVI)-MEDICINA","7","6","6","9","1","22","1"
