"ANHO","MES","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","SECTOR","CATEGORIA","CO_IPRESS","RAZON_SOC","CA_CONSULTORIOS","CA_CONSULTORIOS_FN","CA_CAMAS","CA_MEDICOS_TOTAL","CA_MEDICOS_SERUM","CA_MEDICOS_RESIDENTES","CA_ENFERMERAS","CA_ODONTOLOGOS","CA_PSICOLOGOS","CA_NUTRICIONISTAS","CA_TECNOLOGOS_MEDICOS","CA_OBSTETRICES","CA_FARMACEUTICOS","CA_AUXILIARES","CA_OTROS_PROF","CA_AMBULANCIAS"
"2020","12","100102","HUANUCO","HUANUCO","AMARILIS","GOBIERNO REGIONAL","I-2","00000760","LA ESPERANZA","9","9","0","1","0","0","4","2","0","0","0","2","0","2","0","0"
"2020","12","100102","HUANUCO","HUANUCO","AMARILIS","GOBIERNO REGIONAL","I-3","00027821","CENTRO DE SALUD AMARILIS","14","22","0","6","0","0","20","2","1","0","0","9","0","20","0","0"
"2020","10","040101","AREQUIPA","AREQUIPA","AREQUIPA","PRIVADO","II-E","00016486","CLÍNICA DE OJOS Y LA VISTA FUNDAR E.I.R.L.","2","6","0","5","0","0","0","0","0","0","0","0","0","4","0","0"
"2020","12","200701","PIURA","TALARA","PARIÑAS","PRIVADO","II-1","00011396","ADMINISTRADORA CLINICA TRESA","12","14","20","10","0","0","7","1","1","0","2","0","1","17","5","2"
"2020","12","150132","LIMA","LIMA","SAN JUAN DE LURIGANCHO","PRIVADO","II-1","00009090","CLINICA "" LIMATAMBO""","20","31","30","90","0","1","43","4","4","1","10","7","2","93","1","1"
"2020","12","100101","HUANUCO","HUANUCO","HUANUCO","GOBIERNO REGIONAL","I-2","00000786","COLPA BAJA","5","12","0","1","1","0","3","1","0","0","0","5","0","4","0","0"
"2020","12","100101","HUANUCO","HUANUCO","HUANUCO","GOBIERNO REGIONAL","I-3","00000785","APARICIO POMARES","40","133","6","11","0","0","44","4","4","0","0","28","0","47","0","1"
"2020","12","100101","HUANUCO","HUANUCO","HUANUCO","GOBIERNO REGIONAL","I-1","00000788","NAUYAN RONDOS","2","6","0","0","0","0","1","1","0","0","0","0","0","2","0","0"
"2020","12","100101","HUANUCO","HUANUCO","HUANUCO","GOBIERNO REGIONAL","I-3","00000787","LAS MORAS","20","36","0","11","0","0","18","3","2","0","0","21","0","20","5","1"
"2020","12","150137","LIMA","LIMA","SANTA ANITA","MINSA","III-1","00005948","HOSPITAL HERMILIO VALDIZAN","55","84","211","70","0","22","77","5","28","5","4","0","13","147","18","2"
"2020","12","021801","ANCASH","SANTA","CHIMBOTE","ESSALUD","I-3","00010013","POLICLÍNICO DE COMPLEJIDAD CRECIENTE ""VICTOR PANTA RODRIGUEZ""","9","20","0","20","0","0","9","4","0","1","3","5","1","23","2","0"
"2020","12","220404","SAN MARTIN","HUALLAGA","PISCOYACU","GOBIERNO REGIONAL","I-2","00006545","NUEVO SACANCHE","3","3","0","1","1","0","1","0","0","0","0","1","0","3","0","0"
"2020","12","220405","SAN MARTIN","HUALLAGA","SACANCHE","GOBIERNO REGIONAL","I-1","00027002","LA UNION","2","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"2020","12","150131","LIMA","LIMA","SAN ISIDRO","PRIVADO","II-E","00017099","OFTALMOLOGOS CONTRERAS  C.SCRL","8","8","0","11","0","0","4","0","0","0","0","0","0","4","0","0"
"2020","05","040101","AREQUIPA","AREQUIPA","AREQUIPA","PRIVADO","II-E","00016486","CLÍNICA DE OJOS Y LA VISTA FUNDAR E.I.R.L.","2","6","0","5","0","0","0","0","0","0","0","0","0","4","0","0"
"2020","12","100110","HUANUCO","HUANUCO","YARUMAYO","GOBIERNO REGIONAL","I-1","00000795","CHULLAY","4","4","0","0","0","0","2","0","0","0","0","1","0","1","0","0"
"2020","12","100110","HUANUCO","HUANUCO","YARUMAYO","GOBIERNO REGIONAL","I-3","00000793","YARUMAYO","13","16","0","1","1","0","2","1","1","0","0","3","0","5","1","1"
"2020","12","100110","HUANUCO","HUANUCO","YARUMAYO","GOBIERNO REGIONAL","I-2","00006906","TRES DE MAYO DE ANDAS CHICO","4","8","0","1","1","0","0","1","0","0","0","2","0","2","0","0"
"2020","12","080702","CUSCO","CHUMBIVILCAS","CAPACMARCA","GOBIERNO REGIONAL","I-3","00002401","CCAPACMARCA","6","6","0","2","1","0","4","1","0","0","0","3","0","4","1","1"
"2020","12","080704","CUSCO","CHUMBIVILCAS","COLQUEMARCA","GOBIERNO REGIONAL","I-1","00008914","HUAYLLANI","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0"
"2020","12","080702","CUSCO","CHUMBIVILCAS","CAPACMARCA","GOBIERNO REGIONAL","I-1","00009963","CANCAHUANI","2","2","0","0","0","0","1","0","0","0","0","1","0","2","0","0"
"2020","12","080702","CUSCO","CHUMBIVILCAS","CAPACMARCA","GOBIERNO REGIONAL","I-1","00027009","TAHUAY","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"2020","12","080704","CUSCO","CHUMBIVILCAS","COLQUEMARCA","GOBIERNO REGIONAL","I-3","00002404","COLQUEMARCA","8","16","7","2","1","0","4","1","0","0","0","4","1","4","1","1"
"2020","12","080704","CUSCO","CHUMBIVILCAS","COLQUEMARCA","GOBIERNO REGIONAL","I-1","00002405","CHARAMURAY","2","2","0","0","0","0","1","0","0","0","0","1","0","2","0","0"
"2020","12","080704","CUSCO","CHUMBIVILCAS","COLQUEMARCA","GOBIERNO REGIONAL","I-2","00012932","YANQUE","2","2","0","0","0","0","1","0","0","0","0","1","0","1","0","0"
"2020","05","150134","LIMA","LIMA","SAN LUIS","PRIVADO","II-1","00008786","CLINICA SAN JUAN DE DIOS","31","15","122","102","0","0","54","0","2","3","10","8","3","102","2","1"
"2020","12","150113","LIMA","LIMA","JESUS MARIA","PRIVADO","II-E","00017173","CLINICA PORVENIR","4","4","10","5","0","3","5","0","0","0","2","0","1","11","0","0"
"2020","12","240201","TUMBES","CONTRALMIRANTE VILLAR","ZORRITOS","ESSALUD","I-2","00012273","POSTA MEDICA ZORRITOS","5","3","0","2","1","0","2","1","1","1","0","1","1","2","0","0"
"2020","12","211101","PUNO","SAN ROMAN","JULIACA","PRIVADO","II-1","00010815","CLINICA AMERICANA DE JULIACA","14","14","38","96","0","0","36","1","0","1","0","0","1","57","2","1"
"2020","12","150121","LIMA","LIMA","PUEBLO LIBRE","PRIVADO","II-1","00010831","centro Especializado en Odontoestomatología","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002"
"2020","12","040411","AREQUIPA","CASTILLA","TIPAN","GOBIERNO REGIONAL","I-1","00001400","PUESTO DE SALUD TIPAN","4","8","0","1","1","0","1","0","0","0","0","1","0","1","0","0"
"2020","12","040412","AREQUIPA","CASTILLA","UÑON","GOBIERNO REGIONAL","I-2","00001403","PUESTO DE SALUD UÑON","3","6","0","1","1","0","1","0","0","0","0","0","0","1","0","0"
"2020","12","040414","AREQUIPA","CASTILLA","VIRACO","GOBIERNO REGIONAL","I-1","00006766","PUESTO DE SALUD HUAMI","2","4","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"2020","12","040408","AREQUIPA","CASTILLA","MACHAGUAY","GOBIERNO REGIONAL","I-2","00001402","PUESTO DE SALUD MACHAGUAY","4","8","0","1","1","0","1","1","0","0","0","1","0","1","0","0"
"2020","12","040411","AREQUIPA","CASTILLA","TIPAN","GOBIERNO REGIONAL","I-1","00001401","PUESTO DE SALUD TAGRE","2","4","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"2020","12","040414","AREQUIPA","CASTILLA","VIRACO","GOBIERNO REGIONAL","I-3","00001386","CENTRO DE SALUD VIRACO","6","18","0","3","1","0","4","2","2","1","0","2","1","6","1","2"
"2020","12","021001","ANCASH","HUARI","HUARI","ESSALUD","I-3","00009204","CENTRO MEDICO HUARI","9","12","0","4","0","0","4","2","1","1","2","1","1","11","0","1"
"2020","12","140101","LAMBAYEQUE","CHICLAYO","CHICLAYO","ESSALUD","III-1","00008577","HOSPITAL NACIONAL ALMANZOR AGUINAGA ASENJO","52","12","378","339","2","3","161","6","12","7","49","30","0","104","17","3"
"2020","12","040110","AREQUIPA","AREQUIPA","MIRAFLORES","GOBIERNO REGIONAL","I-4","00001292","CENTRO DE SALUD EDIFICADORES MISTI","11","23","9","10","0","0","11","1","4","2","0","6","1","22","9","1"
"2020","12","040110","AREQUIPA","AREQUIPA","MIRAFLORES","GOBIERNO REGIONAL","I-3","00001293","CENTRO DE SALUD MIRAFLORES","9","18","0","2","0","0","7","3","6","1","0","2","0","4","6","0"
"2020","12","040110","AREQUIPA","AREQUIPA","MIRAFLORES","GOBIERNO REGIONAL","I-3","00001307","CENTRO DE SALUD MATEO PUMACAHUA","5","10","0","2","0","0","3","0","0","0","0","1","0","2","4","0"
"2020","12","040110","AREQUIPA","AREQUIPA","MIRAFLORES","GOBIERNO REGIONAL","I-3","00001306","CENTRO DE SALUD PORVENIR-MIRAFLORES","9","8","0","1","0","0","8","1","3","0","0","4","0","6","2","0"
"2020","12","040110","AREQUIPA","AREQUIPA","MIRAFLORES","GOBIERNO REGIONAL","I-2","00001305","PUESTO DE SALUD TOMASA T. COMDEMAYTA","8","14","0","2","0","0","3","1","2","1","0","3","0","2","2","0"
"2020","12","060811","CAJAMARCA","JAEN","SAN JOSE DEL ALTO","GOBIERNO REGIONAL","I-1","00018121","EL PORVENIR","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"2020","12","060811","CAJAMARCA","JAEN","SAN JOSE DEL ALTO","GOBIERNO REGIONAL","I-2","00004260","PEÑA BLANCA","1","1","0","1","1","0","2","0","0","0","0","1","0","3","0","0"
"2020","12","090301","HUANCAVELICA","ANGARAES","LIRCAY","GOBIERNO REGIONAL","I-2","00003949","CHAHUARMA","5","5","1","1","1","0","1","1","0","0","0","1","0","0","0","1"
"2020","12","090301","HUANCAVELICA","ANGARAES","LIRCAY","GOBIERNO REGIONAL","I-1","00003951","TUCSIPAMPA","2","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"2020","12","090308","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE","GOBIERNO REGIONAL","I-2","00003954","HUAYLLAY GRANDE","5","5","0","1","1","0","0","1","0","0","0","1","0","2","0","0"
"2020","12","090304","HUANCAVELICA","ANGARAES","CCOCHACCASA","GOBIERNO REGIONAL","I-3","00003955","CCOCHACCASA","6","6","0","2","1","0","1","1","1","0","0","2","0","0","3","0"
"2020","12","090302","HUANCAVELICA","ANGARAES","ANCHONGA","GOBIERNO REGIONAL","I-1","00003958","ANCHONGA","2","2","0","0","0","0","1","0","0","0","0","1","0","1","0","1"
"2020","12","090305","HUANCAVELICA","ANGARAES","CHINCHO","GOBIERNO REGIONAL","I-1","00003963","CHINCHO","3","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2020","12","090306","HUANCAVELICA","ANGARAES","CONGALLA","GOBIERNO REGIONAL","I-1","00011199","CHAYNABAMBA","2","2","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"2020","12","090302","HUANCAVELICA","ANGARAES","ANCHONGA","GOBIERNO REGIONAL","I-1","00011454","ALTO MARAYNIYOCC","2","2","0","0","0","0","1","0","0","0","0","1","0","1","0","0"
"2020","12","150133","LIMA","LIMA","SAN JUAN DE MIRAFLORES","PRIVADO","II-E","00016794","CLINICA DIVINO NIÑO JESUS - ORDEN DE MALTA","17","25","20","81","0","0","22","3","3","1","4","2","2","22","3","2"
"2020","12","040603","AREQUIPA","CONDESUYOS","CAYARANI","GOBIERNO REGIONAL","I-3","00001440","CENTRO DE SALUD CAYARANI","4","6","0","1","1","0","1","1","0","0","0","2","0","2","1","1"
"2020","12","040404","AREQUIPA","CASTILLA","CHACHAS","GOBIERNO REGIONAL","I-2","00001442","PUESTO DE SALUD TOLCONI","3","3","0","1","1","0","2","0","0","0","0","1","0","1","0","0"
"2020","12","040505","AREQUIPA","CAYLLOMA","CAYLLOMA","GOBIERNO REGIONAL","I-3","00001422","CENTRO DE SALUD CAYLLOMA","10","12","0","4","2","0","5","2","1","1","0","4","1","9","3","1"
"2020","12","040603","AREQUIPA","CONDESUYOS","CAYARANI","GOBIERNO REGIONAL","I-2","00007407","PUESTO DE SALUD ARCATA","3","3","0","1","1","0","1","0","0","0","0","1","0","1","0","1"
