variable,importancia
categoricas__codigo_ipress_00012923,0.0
categoricas__codigo_ipress_00010751,0.0
categoricas__codigo_ipress_00010434,0.0
categoricas__codigo_ipress_00010135,0.0
categoricas__codigo_ipress_00010098,0.0
categoricas__codigo_ipress_00008741,0.0
categoricas__codigo_ipress_00008709,0.0
categoricas__codigo_ipress_00008564,0.0
categoricas__codigo_ipress_00008502,0.0
categoricas__codigo_ipress_5945,0.0
categoricas__codigo_ipress_5883,0.0
categoricas__codigo_ipress_5617,0.0
categoricas__codigo_ipress_23159,0.0
categoricas__codigo_ipress_18011,0.0
categoricas__codigo_ipress_17024,0.0
categoricas__codigo_ipress_16918,0.0
categoricas__codigo_ipress_16094,0.0
categoricas__codigo_ipress_14718,0.0
categoricas__codigo_ipress_13591,0.0
categoricas__codigo_ipress_10751,0.0
categoricas__codigo_ipress_10434,0.0
categoricas__codigo_ipress_10135,0.0
categoricas__codigo_ipress_10098,0.0
categoricas__codigo_ipress_00035628,0.0
categoricas__codigo_ipress_00033381,0.0
categoricas__codigo_ipress_6217,0.0
categoricas__codigo_ipress_6215,0.0
categoricas__codigo_ipress_6214,0.0
categoricas__codigo_ipress_6213,0.0
categoricas__codigo_ipress_6212,0.0
categoricas__codigo_ipress_6211,0.0
categoricas__codigo_ipress_6210,0.0
categoricas__codigo_ipress_6208,0.0
categoricas__codigo_ipress_6207,0.0
categoricas__codigo_ipress_6206,0.0
categoricas__codigo_ipress_5987,0.0
categoricas__codigo_ipress_5948,0.0
categoricas__codigo_ipress_5947,0.0
categoricas__codigo_ipress_5946,0.0
categoricas__id_hospitalizacion_040700,0.0
categoricas__id_hospitalizacion_040100,0.0
categoricas__id_hospitalizacion_040000,0.0
categoricas__codigo_ipress_9188,0.0
categoricas__codigo_ipress_8741,0.0
categoricas__codigo_ipress_8720,0.0
categoricas__codigo_ipress_8671,0.0
categoricas__codigo_ipress_8564,0.0
categoricas__codigo_ipress_8502,0.0
categoricas__codigo_ipress_8489,0.0
categoricas__codigo_ipress_8353,0.0
categoricas__codigo_ipress_8318,0.0
categoricas__codigo_ipress_8317,0.0
categoricas__codigo_ipress_7734,0.0
categoricas__codigo_ipress_7733,0.0
categoricas__codigo_ipress_7633,0.0
categoricas__id_hospitalizacion_221502,0.0
categoricas__id_hospitalizacion_221400,0.0
categoricas__id_hospitalizacion_221300,0.0
categoricas__id_hospitalizacion_221200,0.0
categoricas__id_hospitalizacion_221000,0.0
categoricas__id_hospitalizacion_220900,0.0
categoricas__id_hospitalizacion_220700,0.0
categoricas__id_hospitalizacion_220600,0.0
categoricas__id_hospitalizacion_220500,0.0
categoricas__id_hospitalizacion_220100,0.0
categoricas__id_hospitalizacion_160807,0.0
categoricas__id_hospitalizacion_160400,0.0
categoricas__id_hospitalizacion_160300,0.0
categoricas__id_hospitalizacion_150300,0.0
categoricas__id_hospitalizacion_130300,0.0
categoricas__id_hospitalizacion_130000,0.0
categoricas__id_hospitalizacion_230400,0.0
categoricas__id_hospitalizacion_230301,0.0
categoricas__id_hospitalizacion_230109,0.0
categoricas__id_hospitalizacion_230108,0.0
categoricas__id_hospitalizacion_230100,0.0
categoricas__id_hospitalizacion_225400,0.0
categoricas__id_hospitalizacion_224700,0.0
categoricas__id_hospitalizacion_224200,0.0
categoricas__id_hospitalizacion_223900,0.0
categoricas__id_hospitalizacion_223800,0.0
categoricas__id_hospitalizacion_223700,0.0
categoricas__id_hospitalizacion_223500,0.0
categoricas__id_hospitalizacion_223200,0.0
