anio_prueba,n_train,n_test,test_sha256,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,roc_auc_ovr_macro,recall_alto,precision_alto,f1_alto,casos_alto_reales,falsos_negativos_alto,tasa_falsos_negativos_alto,errores_alto_bajo,proporcion_alto_bajo,proporcion_alto_bajo_total,regla,tipo,tipo_regla,umbral,umbral_proteccion,fase,probabilidades_sha256,predichos_bajo,proporcion_predicha_bajo,predichos_medio,proporcion_predicha_medio,predichos_alto,proporcion_predicha_alto,delta_proporcion_predicha_alto_vs_argmax,riesgo_expansion_alto
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7340587595212187,0.7039617755250215,0.7020283485037103,0.7039617755250215,0.7020399735958006,0.8682894876035997,0.8786453999583514,0.8041095890410959,0.8450095969289827,0.8240524099204491,2190,429,0.1958904109589041,92,0.04200913242009133,0.02002176278563656,alto_0.40,regla_decision,alto,0.4,,desarrollo,9cc0c2fa2564d2988737310b1cf35a46867ea977d2a1daf130c94bedbd580af1,1351,0.2940152339499456,1160,0.25244831338411317,2084,0.4535364526659412,0.025680087051142553,False
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7371055495103374,0.6983679414606332,0.6998226454346076,0.6983679414606332,0.6989987600596114,0.8670253304655097,0.8786453999583514,0.8310502283105022,0.8272727272727273,0.8291571753986332,2190,370,0.1689497716894977,91,0.041552511415525115,0.019804134929270946,alto_0.35,regla_decision,alto,0.35,,desarrollo,9cc0c2fa2564d2988737310b1cf35a46867ea977d2a1daf130c94bedbd580af1,1347,0.29314472252448315,1048,0.2280739934711643,2200,0.47878128400435255,0.050924918389553875,False
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7323177366702938,0.7034422689995473,0.7039714469968302,0.7034422689995473,0.7018978714379777,0.8678675138015323,0.8786453999583514,0.8041095890410959,0.8450095969289827,0.8240524099204491,2190,429,0.1958904109589041,78,0.03561643835616438,0.016974972796517954,combinada_0.40_0.20,regla_decision,combinada,0.4,0.2,desarrollo,9cc0c2fa2564d2988737310b1cf35a46867ea977d2a1daf130c94bedbd580af1,1297,0.2822633297062024,1214,0.2642002176278564,2084,0.4535364526659412,0.025680087051142553,False
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.735582154515778,0.6980009809421844,0.7013230416241147,0.6980009809421844,0.6991212622865772,0.8666749638107708,0.8786453999583514,0.8310502283105022,0.8272727272727273,0.8291571753986332,2190,370,0.1689497716894977,78,0.03561643835616438,0.016974972796517954,combinada_0.35_0.20,regla_decision,combinada,0.35,0.2,desarrollo,9cc0c2fa2564d2988737310b1cf35a46867ea977d2a1daf130c94bedbd580af1,1297,0.2822633297062024,1098,0.23895538628944504,2200,0.47878128400435255,0.050924918389553875,False
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7364307425097699,0.7239155787382439,0.7247138169281161,0.7239155787382439,0.7176027933890513,0.8738180741026055,0.895360548460021,0.7720090293453724,0.8837209302325582,0.8240963855421687,2215,505,0.22799097065462753,59,0.026636568848758466,0.012809379070777248,argmax,regla_decision,argmax,,,desarrollo,82e3e09a6d00500d9ece05be7fcd7e8574008137b60089be5e265ba71766ada6,1207,0.2620495006513244,1464,0.3178462874511507,1935,0.42010421189752495,0.0,False
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7353452019105514,0.7234181995439982,0.7269279464756595,0.7234181995439982,0.7172459718656046,0.8734933997470806,0.895360548460021,0.7720090293453724,0.8837209302325582,0.8240963855421687,2215,505,0.22799097065462753,52,0.02347629796839729,0.011289622231871473,proteccion_0.20,regla_decision,proteccion,0.2,,desarrollo,82e3e09a6d00500d9ece05be7fcd7e8574008137b60089be5e265ba71766ada6,1171,0.2542336083369518,1500,0.32566217976552325,1935,0.42010421189752495,0.0,False
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7446808510638298,0.7235889522303417,0.7250031285905673,0.7235889522303417,0.7206136407546201,0.8755779499097693,0.895360548460021,0.8058690744920993,0.8707317073170732,0.8370457209847596,2215,430,0.19413092550790068,59,0.026636568848758466,0.012809379070777248,alto_0.40,regla_decision,alto,0.4,,desarrollo,82e3e09a6d00500d9ece05be7fcd7e8574008137b60089be5e265ba71766ada6,1207,0.2620495006513244,1349,0.29287885366912725,2050,0.44507164567954843,0.024967433782023485,False
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7509769865392966,0.7214177715995063,0.724963755533104,0.7214177715995063,0.7215037267411443,0.8762268519488648,0.895360548460021,0.837020316027088,0.85635103926097,0.8465753424657535,2215,361,0.16297968397291196,58,0.02618510158013544,0.012592270950933565,alto_0.35,regla_decision,alto,0.35,,desarrollo,82e3e09a6d00500d9ece05be7fcd7e8574008137b60089be5e265ba71766ada6,1206,0.26183239253148066,1235,0.2681285280069475,2165,0.47003907946157186,0.049934867564046914,False
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7435953104646114,0.7230915730360961,0.7269969219097678,0.7230915730360961,0.7202992070902748,0.8752532755542445,0.895360548460021,0.8058690744920993,0.8707317073170732,0.8370457209847596,2215,430,0.19413092550790068,52,0.02347629796839729,0.011289622231871473,combinada_0.40_0.20,regla_decision,combinada,0.4,0.2,desarrollo,82e3e09a6d00500d9ece05be7fcd7e8574008137b60089be5e265ba71766ada6,1171,0.2542336083369518,1385,0.30069474598349977,2050,0.44507164567954843,0.024967433782023485,False
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7498914459400782,0.7209203924052606,0.7266112986539842,0.7209203924052606,0.7212303171283786,0.8758945142223248,0.895360548460021,0.837020316027088,0.85635103926097,0.8465753424657535,2215,361,0.16297968397291196,52,0.02347629796839729,0.011289622231871473,combinada_0.35_0.20,regla_decision,combinada,0.35,0.2,desarrollo,82e3e09a6d00500d9ece05be7fcd7e8574008137b60089be5e265ba71766ada6,1171,0.2542336083369518,1270,0.27572731220147634,2165,0.47003907946157186,0.049934867564046914,False
2025,39042,4942,a5f96ba2627c8a10afab8a8ee390db431a8e9d135db0850e95b30dd3991c66ef,0.7612302711452853,0.7519571865953831,0.7493885259139837,0.7519571865953831,0.7447115572783648,0.8851594978580772,0.912323910721382,0.781127129750983,0.8734733756717147,0.8247232472324723,2289,501,0.21887287024901703,70,0.03058103975535168,0.014164305949008499,argmax,regla_decision,argmax,,,comprobacion_2025,a59179d15e4fa604108329b03ca264c91e7f1ba3e019e53353c91ae2112a89a3,1401,0.28348846620801293,1494,0.30230675839740995,2047,0.4142047753945771,0.0,False
2025,39042,4942,a5f96ba2627c8a10afab8a8ee390db431a8e9d135db0850e95b30dd3991c66ef,0.7701335491703764,0.7442594474545396,0.7490560806197757,0.7442594474545396,0.74476421519355,0.8848515560023226,0.912323910721382,0.8431629532546964,0.8387657540199913,0.840958605664488,2289,359,0.15683704674530363,57,0.02490170380078637,0.011533791987049777,combinada_0.35_0.20,regla_decision,combinada,0.35,0.2,comprobacion_2025,a59179d15e4fa604108329b03ca264c91e7f1ba3e019e53353c91ae2112a89a3,1370,0.2772157021448806,1271,0.25718332658842574,2301,0.46560097126669364,0.051396195872116524,False
