anio_prueba,n_train,n_test,test_sha256,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,roc_auc_ovr_macro,recall_alto,precision_alto,f1_alto,casos_alto_reales,falsos_negativos_alto,tasa_falsos_negativos_alto,errores_alto_bajo,proporcion_alto_bajo,proporcion_alto_bajo_total,modelo,tipo,fase,n_features,delta_accuracy_vs_ganador,delta_balanced_accuracy_vs_ganador,delta_precision_macro_vs_ganador,delta_recall_macro_vs_ganador,delta_f1_macro_vs_ganador,delta_specificity_macro_vs_ganador,delta_roc_auc_ovr_macro_vs_ganador,delta_recall_alto_vs_ganador,delta_precision_alto_vs_ganador,delta_f1_alto_vs_ganador,delta_casos_alto_reales_vs_ganador,delta_falsos_negativos_alto_vs_ganador,delta_tasa_falsos_negativos_alto_vs_ganador,delta_errores_alto_bajo_vs_ganador,delta_proporcion_alto_bajo_vs_ganador,delta_proporcion_alto_bajo_total_vs_ganador
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.724265505984766,0.7029067722831842,0.6984742172632887,0.7029067722831842,0.6976823249670837,0.8662313352642622,0.8765115912682927,0.7671232876712328,0.860655737704918,0.8112023177209077,2190,510,0.2328767123287671,96,0.043835616438356165,0.02089227421109902,A,modelo,desarrollo,48,,,,,,,,,,,,,,,,
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7244831338411316,0.7037598408154371,0.6992654073961894,0.7037598408154371,0.6984469480205743,0.8661535216709467,0.8768267509274411,0.7675799086757991,0.8589678078691876,0.8107065348444659,2190,509,0.2324200913242009,97,0.04429223744292238,0.021109902067464634,B,modelo,desarrollo,52,,,,,,,,,,,,,,,,
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7292709466811752,0.7076350580134814,0.7033120470153914,0.7076350580134814,0.7025949677883935,0.868529600069292,0.8790903446566368,0.776255707762557,0.8629441624365483,0.8173076923076923,2190,490,0.2237442922374429,94,0.042922374429223746,0.020457018498367792,C,modelo,desarrollo,59,,,,,,,,,,,,,,,,
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7297062023939064,0.7095198005157051,0.7052373869412175,0.7095198005157051,0.7042343949480165,0.8686527222317869,0.8786453999583514,0.7726027397260274,0.8606307222787386,0.8142444658325313,2190,498,0.2273972602739726,92,0.04200913242009133,0.02002176278563656,D,modelo,desarrollo,69,,,,,,,,,,,,,,,,
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7359965262700825,0.725621121753042,0.723971795941987,0.725621121753042,0.7180530076575797,0.8740969768270008,0.8915980105560507,0.762076749435666,0.888421052631579,0.8204131227217498,2215,527,0.23792325056433408,69,0.031151241534988713,0.014980460269214069,Base,modelo,desarrollo,37,,,,,,,,,,,,,,,,
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7351280937907078,0.725451927804914,0.7272455720817123,0.725451927804914,0.7181557542312725,0.8737915971153538,0.8932028153914261,0.7634311512415349,0.8871983210912907,0.8206745935452561,2215,524,0.236568848758465,61,0.027539503386004513,0.013243595310464611,A,modelo,desarrollo,48,,,,,,,,,,,,,,,,
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.737733391228832,0.7274326589664999,0.7280638931824832,0.7274326589664999,0.7202144969450487,0.8747912364283632,0.8935349982173383,0.7674943566591422,0.8868022952529995,0.8228460793804454,2215,515,0.2325056433408578,64,0.028893905191873587,0.013894919669995658,B,modelo,desarrollo,52,,,,,,,,,,,,,,,,
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7357794181502388,0.7231373432582447,0.7240322063420228,0.7231373432582447,0.7169727176398792,0.8733167904220521,0.895425022747273,0.7715575620767494,0.8813821557503868,0.8228213769860375,2215,506,0.22844243792325056,64,0.028893905191873587,0.013894919669995658,C,modelo,desarrollo,59,,,,,,,,,,,,,,,,
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7364307425097699,0.7239155787382439,0.7247138169281161,0.7239155787382439,0.7176027933890513,0.8738180741026055,0.895360548460021,0.7720090293453724,0.8837209302325582,0.8240963855421687,2215,505,0.22799097065462753,59,0.026636568848758466,0.012809379070777248,D,modelo,desarrollo,69,,,,,,,,,,,,,,,,
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7313606710158435,0.7122575546744709,0.707777307298806,0.7122575546744709,0.7077628938585944,0.8681007139532076,0.8834292431368732,0.7836285303973193,0.8620326487625066,0.820962888665998,2089,452,0.21637146960268072,89,0.04260411680229775,0.020736253494874183,sin_ratio_camas_disponibles,modelo,ablacion,68,0.002096924510717635,0.0031890758811002895,0.0037143784330088137,0.0031890758811002895,0.003162287801015018,0.0010325531808095256,-0.0011098082464906511,0.0,0.00045370139408562604,0.00020580669056557976,0.0,0.0,0.0,-2.0,-0.0009573958831977022,-0.000465983224603915
