variable,anio_prueba,importancia_f1_macro_media,importancia_f1_macro_std,f1_macro_sin_permutar,n_test,n_muestra,repeticiones,random_state,metodo,es_causal,conjunto
tendencia_egresos_1m,2021,-0.0019146082857729823,0.00038458626405810375,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
ocupacion_lag_1m,2021,0.006174270049828623,0.003050770180251789,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
ocupacion_lag_2m,2021,0.003195200407240454,0.0022030074269087855,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
ocupacion_lag_3m,2021,0.0003808697576835514,0.0027586777320032932,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
pacientes_camas_lag_1m,2021,-0.0008236040912545558,0.003149988526850624,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
pacientes_camas_lag_2m,2021,0.0007346532364205979,0.003934641763521029,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
camas_disponibles_lag_1m,2021,0.002225975154855638,0.0019382005471718464,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
camas_disponibles_lag_2m,2021,-0.00010684988641174176,0.0017259367839645048,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
ingresos_lag_1m,2021,0.00022528520809417252,0.0017001800930598009,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
ingresos_lag_2m,2021,-0.0024437826511226244,0.0019780661418852055,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
egresos_lag_1m,2021,0.002044552477863911,0.0009384137945594122,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
egresos_lag_2m,2021,-0.00019091429275216085,0.0032268234557485662,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
cambio_ocupacion_2m,2021,0.004542036610536648,0.0018451154715807426,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
cambio_pacientes_camas_1m,2021,0.0011745846656048646,0.0005288387161417024,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
cambio_camas_disponibles_1m,2021,0.002186235990139266,0.0016422834421212487,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
aceleracion_ocupacion,2021,-6.870660887174178e-05,0.001238382492746702,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
max_ocupacion_3m,2021,0.010187497696377798,0.0028106077968568684,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
min_ocupacion_3m,2021,0.00398927318012902,0.0026183942128982915,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
desviacion_ocupacion_3m,2021,0.003526965244672479,0.004293584167370369,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
promedio_ocupacion_6m,2021,0.009411526812328522,0.0027410320456710702,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
max_presion_3m,2021,-0.0020005063656542235,0.0035605479450740224,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
