variable,importancia
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA OFTALMOLOGÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEUROLOGÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEUMOLOGÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEFROLOGÍA PEDIÁTRICA,0.0
categoricas__ubigeo_150135,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA GASTROENTEROLOGÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA ENDOCRINOLOGÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA DERMATOLOGÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN-HOSPITALIZACIÓN DE MEDICINA-GERIATRIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA OTORRINOLARINGOLOGÍA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA GINECOLOGIA ONCOLOGICA,0.0
categoricas__ubigeo_150133,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) QUIRÚRGICA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) NEUROQUIRÚRGICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA ENFERMEDADES INFECCIOSAS/TRANSMISIBLES DEL SISTEMA NERVIOSO,0.0
categoricas__ubigeo_150103,0.0
categoricas__ubigeo_150132,0.0
numericas__anio,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE QUEMADOS (GRAN QUEMADO),0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTERMEDIOS GENERAL (UCIN),0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTERMEDIOS (UCIN) PEDIÁTRICOS,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTERMEDIOS (UCIN) NEONATAL,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS GENERALES (UCI) GINECO-OBSTETRICIA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS GENERALES (UCI) CARDIOLOGIA,0.0
categoricas__ubigeo_150130,0.0
categoricas__ubigeo_150122,0.0
categoricas__ubigeo_150108,0.0
categoricas__distrito_CHORRILLOS,0.0
categoricas__distrito_BREÑA,0.0
categoricas__distrito_ATE,0.0
categoricas__provincia_LIMA,0.0
categoricas__departamento_LIMA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) CARDIOVASCULAR,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN-PEDIATRÍA GENERAL-,0.0
categoricas__distrito_VILLA EL SALVADOR,0.0
categoricas__ubigeo_150142,0.0
categoricas__distrito_SANTA ANITA,0.0
categoricas__distrito_SAN MIGUEL,0.0
categoricas__distrito_SAN MARTIN DE PORRES,0.0
categoricas__distrito_SAN JUAN DE MIRAFLORES,0.0
categoricas__distrito_SAN JUAN DE LURIGANCHO,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA,0.0
categoricas__distrito_SAN BORJA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA QUEMADOS,0.0
categoricas__distrito_PUEBLO LIBRE,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) NEUROLÓGICA,0.0
