configuracion,anio_prueba,n_train,n_test,test_sha256,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,roc_auc_ovr_macro,recall_alto,precision_alto,f1_alto,casos_alto_reales,falsos_negativos_alto,tasa_falsos_negativos_alto,errores_alto_bajo,proporcion_alto_bajo,proporcion_alto_bajo_total
profundo__alto_1.1,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7364526659412405,0.6733472663301378,0.6857049364486709,0.6733472663301378,0.6702927457566176,0.8594800592642616,0.8767683927114963,0.8753424657534247,0.7882401315789473,0.8295110341843358,2190,273,0.12465753424657534,117,0.05342465753424658,0.02546245919477693
profundo__alto_1.2,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7357997823721436,0.6694675042586921,0.685418064514928,0.6694675042586921,0.6657496292385122,0.8577765538410075,0.8763776150673023,0.882648401826484,0.7791213220475615,0.8276600299721687,2190,257,0.11735159817351598,113,0.051598173515981734,0.024591947769314473
profundo__alto_1.3,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7340587595212187,0.6646511527914495,0.6848548389827038,0.6646511527914495,0.6598435464895865,0.8554863589292364,0.8767928996055363,0.8881278538812786,0.7696873763355758,0.8246767012931949,2190,245,0.11187214611872145,113,0.051598173515981734,0.024591947769314473
profundo__alto_1.5,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7323177366702938,0.6572877371707411,0.6849239960700952,0.6572877371707411,0.6508484615662179,0.8524167281621237,0.876797963313478,0.902283105022831,0.7565084226646248,0.8229904206580592,2190,214,0.09771689497716896,111,0.050684931506849315,0.024156692056583242
Persistencia,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7244831338411316,0.6848889306046807,0.6846029797038743,0.6848889306046807,0.6847443925711406,0.8602366413231689,,0.815068493150685,0.8165599268069533,0.8158135283363802,2190,405,0.18493150684931506,104,0.047488584474885846,0.022633297062023938
base__balanceado,2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7359965262700825,0.725621121753042,0.723971795941987,0.725621121753042,0.7180530076575797,0.8740969768270008,0.8915980105560507,0.762076749435666,0.888421052631579,0.8204131227217498,2215,527,0.23792325056433408,69,0.031151241534988713,0.014980460269214069
base__alto_1.1,2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7470690403821103,0.6969217754311683,0.7032681584777395,0.6969217754311683,0.6966481299861286,0.8677403308327175,0.8925212043827933,0.873589164785553,0.8147368421052632,0.8431372549019608,2215,280,0.12641083521444696,93,0.04198645598194131,0.02019105514546244
base__alto_1.2,2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7483716891011724,0.6949210640797281,0.7066897745005963,0.6949210640797281,0.6953339478876527,0.8663556052925653,0.892754430350721,0.8839729119638826,0.8014735980352026,0.8407041648776299,2215,257,0.11602708803611739,93,0.04198645598194131,0.02019105514546244
base__alto_1.3,2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7462006079027356,0.6890420703444385,0.7047933590411753,0.6890420703444385,0.6887968110110325,0.8638870227172327,0.8923445943809547,0.891196388261851,0.7924528301886793,0.8389290267743307,2215,241,0.10880361173814898,97,0.04379232505643341,0.02105948762483717
base__alto_1.5,2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.742509769865393,0.6804901239763695,0.7021152265784641,0.6804901239763695,0.6803072825923856,0.8595468470454405,0.8925051829553721,0.9011286681715576,0.7742435996896819,0.8328812852075944,2215,219,0.09887133182844243,88,0.03972911963882619,0.01910551454624403
regularizado__balanceado,2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.728831958315241,0.7213113522904241,0.7215067657501701,0.7213113522904241,0.7128111401407079,0.8714396602259168,0.8904543546129197,0.7476297968397291,0.8908015061861215,0.812960235640648,2215,559,0.25237020316027087,68,0.03069977426636569,0.014763352149370386
regularizado__alto_1.1,2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.747937472861485,0.6992206308922077,0.7056274851725539,0.6992206308922077,0.699190300917556,0.8682826508214828,0.891931549612151,0.8708803611738148,0.8156448202959831,0.84235807860262,2215,286,0.1291196388261851,97,0.04379232505643341,0.02105948762483717
regularizado__alto_1.2,2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7446808510638298,0.692425807603525,0.7018117134969564,0.692425807603525,0.6923102780903242,0.865042873019926,0.8919108399088342,0.8762979683972912,0.8027295285359801,0.8379020073386574,2215,274,0.1237020316027088,96,0.04334085778781038,0.020842379504993486
regularizado__alto_1.3,2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7429439861050803,0.6868850600610176,0.7001746265991523,0.6868850600610176,0.6862460315822093,0.8625892653949476,0.8912326517867135,0.8839729119638826,0.7920711974110033,0.8355024535950502,2215,257,0.11602708803611739,97,0.04379232505643341,0.02105948762483717
