variable,importancia
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA HEMATOLOGÍA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA GINECOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA CIRUGIA OFTALMOLOGICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA CIRUGIA DE TRANSPLANTES,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA CIRUGIA DE TORAX Y CARDIOVASCULAR,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA CIRUGIA DE CABEZA Y CUELLO / MAXILO FACIAL,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA GINECO - OBSTETRICIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA CIRUGIA PLASTICA/RECONSTRUCTIVA/ REPARADORA QUEMADOS,0.0
categoricas__servicio_hospitalizacion_OTROS PROCED. DIAGNÓSTICOS Y TERAPÉUTICOS-NEUMOLÓGICOS-,0.0
categoricas__servicio_hospitalizacion_PATOLOGÍA CLÍNICA (LABORATORIO CLÍNICO)-HEMATOLOGÍA -,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN-HOSPITALIZACIÓN DE MEDICINA-GERIATRIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA,0.0
categoricas__servicio_hospitalizacion_MEDICINA DE REHABILITACIÓN / MEDICINA FÍSICA Y REHABILITACIÓN,0.0
categoricas__servicio_hospitalizacion_MEDIC. DE REHAB. / MEDICINA FÍS.Y REHAB.-REHABILITACIÓN FÍSICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA GINECOLOGIA ONCOLOGICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DIGESTIVA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA ONCOLOGÍA QUIRÚRGICA,0.0
categoricas__servicio_hospitalizacion_OTROS PROCED. DIAGNÓSTICOS Y TERAPÉUTICOS-NEUROLÓGICOS -,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) NEUROLÓGICA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) NEUROLOGICA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) NEONATOLOGIA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) CARDIOVASCULAR,0.0
categoricas__servicio_hospitalizacion_OTROS PROCED. DIAGNÓSTICOS Y TERAPÉUTICOS-REHAB. EN SALUD MENTAL-PSIQUIATRÍA GRUPAL,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE QUEMADOS (GRAN QUEMADO),0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTERMEDIOS (UCIN) NEONATAL,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS GENERALES (UCI) MEDICINA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) NEUROQUIRURGICA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) NEUROQUIRÚRGICA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTERMEDIOS (UCIN) PEDIATRICOS,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS GENERALES (UCI) GINECO-OBSTETRICIA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) QUIRÚRGICA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) RESPIRATORIA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS GENERALES (UCI) CARDIOLOGIA,0.0
